a
i
ə
˧
e
o
w
u
j
n
k
s
t
i̯
˥
m
˩
p
ŋ
h
l
u̯
d
b
ɡ
f
ʔ
ɯ
z
ʃ
ɔ
ɛ
r
ɲ
t͡ʃ
d͡ʒ
v
x
ʒ
ɨ
ɻ
t͡sʼ
iː
ã
y
t͡s
uː
kʼ
kʰ
aː
ɑ
ɴ
ɾ
ʊ
eː
˨
tʰ
tʼ
t͡ʃʼ
ɪ
pʼ
˦
ă
pʰ
t͡ɕ
ɕ
ʑ
oː
q
ə̯
ɤ
ħ
ɰ
ɣ
ɔː
ɤ̆
ʕ
ɔ̃
ʂ
ø
kʷ
y̯
ĩ
ŋʷ
æ
ɡʷ
ʈ
ç
ɖ
ɐ
œ
ɑː
hʷ
t͡sʰ
t͡ɕʰ
ɽ
ɳ
χ
ɸ
kʲ
ɡʲ
qʰ
z̩
d͡z
mʲ
ɥ
bʲ
pʲ
c
ɟ
xʷ
kʼʷ
t͡ʃʰ
ẽ
ɦ
ʁ
θ
ũ
ɛ̃
l̩
a̯
ɒ
β
kː
ɾʲ
lː
ɛː
mː
yː
ʋ
ʈʰ
ɵ
t̪
ɡ̤
b̤
sː
d͡ʑ
ɑ̃
æː
m̩
d̤
nː
pː
ʃː
sʷ
qʷ
ʐ
r̩
ð
jː
tː
zʷ
ʎ
ɭ
qʰʷ
sʼ
ʊ̯
ǀ
ǃ
ǁ
ɖ̤
rː
bː
fː
øː
vː
bʷ
mʷ
ɪ̯
d̪
ɡː
ɲː
dʷ
fʷ
pʷ
ʏ
ɸʲ
ɻʷ
ɓ
ɯː
dː
zː
tʷ
vʷ
ʈ͡ʂ
e̞
ɨː
d͡ʒ̤
ɫ
wː
ʒʷ
lʷ
ɗ
õ
e̯
ɒ̃
ʀ
ʉ
ʝ
ŋ̩
ɬ
t̪ʰ
ɹ
ŋː
ʒː
nʷ
ʈ͡ʂʰ
ɘ
ɧ
cʰ
ɨ̯
n̩
d̪̤
ŋ̤
dʲ
hː
sˤ
tʼʷ
pʼʷ
p͡f
ʐ̩
a̠
æ̃
ʃʼ
ɕː
n̪
ʌ
ʊ̃
ɐ̃
j̃
ɲ̥
m̥
ɮ
ɽ̤
r̥
ŋ̰
tʲ
tʰʲ
ɤː
t͡ʃː
d͡ʒː
ɾː
d͡ʑ̤
tˤ
rʷ
ʔʷ
t͡sʼʷ
fʲ
t͡ʃʷ
ɲʷ
d͡ʒʷ
t͡ʃʼʷ
ɬː
œ̃
ʔʲ
zʲ
ɱ
ɜ
ɽ̥
w̃
n̥
l̥
t͡ɬ
ǀʰ
ǃʰ
ǁʰ
bʰ
dʰ
ɡʰ
ɒː
m̤
z̤
d͡zː
əː
dˤ
ħʷ
ʃʷ
d͡zʷ
t͡sʷ
ɤ̞
ə̃
ʍ
χː
ỹ
o̯
qʼ
ɬʼ
ðˤ
pʰʷ
sʲ
tʰʷ
ɽʷ
kʰʷ
vʲ
ɡ͡b
k͡p
sʰ
v̩
lʲ
nʲ
ɘ̯
ä
ɤ̃
ɛ̯
d͡z̤
ɟʰ
ɺ
v̤
n̤
l̤
ʒ̤
ɲ̤
j̤
k͡x
ɣ̤
w̤
t͡sː
ɟː
cː
ɵː
rʲ
b͡v
ɸː
kːʷ
θː
ʍː
ɒ̯
ʌ̃
xː
ĭ
ɨ̆
ɒ̆
ɖː
kʷʰ
ʄ
ɠ
ðʲ
ʃʲ
t͡ʃʲ
ʎː
ʊː
ɞ
ŋ̥
ʉː
t͡ʃʼː
pʼː
kʼː
tʼː
l̪
s̪
ɻ̩
ɤ̯
ʁʷ
q͡χ
q͡χʷ
kʲʼ
kʷʼ
fʼ
χʷ
ɕʼ
βʷ
ɖ͡ʐ
