*͡R
*͡Rʲ
*͡R̥
*͡R̪
*͡R̪̥
*͡R̪̰
*͡R̰
a
a͡e
a͡e̞
a͡e̞ˤ
a͡i
a͡i̯
a͡j
a͡o
a͡o̞
a͡o̞ˤ
a͡u
a͡u̯
a͡w
a͡y
a͡ɔ
a͡ɛ
a͡ɨ
a͡ɪ
a͡ɯ
a͡ʊ
aˀ
aː
aː̃
a˞
aˤ
aˤː
ã
ã͡ẽ̞ˤ
ã͡i
ã͡ĩ
ã͡õ̞ˤ
ãː
ãˤ
ãˤː
ã̆
ă
å
a̙
a̙ː
a̙ˠ
a̟
a̟͡i
a̟ː
ã̟
ã̟͡ĩ
ã̟ː
a̟̙ː
a̠
a̠ː
a̤
a̤͡i̤
a̤͡ṳ
a̤͡ɯ̤
a̤ː
ḁ
a̰
a̰͡ḭ
a̰͡ṵ
ã̰
b
b͡v
b͡z
b͡ɦ
bʰ
bʲ
bʷ
bʷː
bʷˠ
bʼ
bˀ
bː
bˤ
bˤː
b̃
b̃ʷ
b̤
b̤ʲ
b̤ː
b̤̥
b̩
b̪
b̰
b̻
b͈
b͈ː
bⁿ
c
c͡ç
c͡çʰ
c͡çː
c͡ɕ
c͡ɕʰ
c͡ɕʼ
c͡ɲ
cʰ
cʲ
cʷ
cʷʰ
cʼ
c̟
c̠
ç
çʲ
çʷ
çː
ç̟
c̰
d
d͡l
d͡r
d͡z
d͡zʰ
d͡zʲ
d͡zʷ
d͡zʼ
d͡zː
d͡zˠ
d͡z̃
d͡z̤
d͡z̪
d͡ɮ
d͡ʑ
d͡ʑᶣ
dʰ
dʲ
dʲʷ
dʷ
dʼ
dˀ
dː
dˠ
dˤ
dˤː
d̃
d̠
d̠͡ʒ
d̠͡ʒʰ
d̠͡ʒʲ
d̠͡ʒʷ
d̠͡ʒʼ
d̠͡ʒː
d̠͡ʒˠ
d̠͡ʒ̤
d̠͡ʒ̤ː
d̠̰
d̠͈͡ʒ
d̠ⁿ
d̤
d̤̥
d̩
d̪
d̪͡l̪
d̪͡z̪
d̪͡z̪ʲ
d̪͡z̪̤
d̪ð
d̪͡ɦ
d̪͡ɮ̪
d̪ʰ
d̪ʲ
d̪ʷ
d̪ː
d̪ˤ
d̪̤
d̪̤ː
d̪̤̥
d̪̰
d̪ⁿ
d̰
d̻
d̻͡z̻
d̻ʲ
d̻ː
d͈
d͈ː
dⁿ
e
e͡a
e͡i
e͡ĩ
e͡i̙
e͡i̯
e͡j
e͡o
e͡u
e͡u̯
e͡ɔ
e͡ɪ
e͡ʊ
eˀ
eː
eˠ
ẽ
ẽ͡ĩ
ẽː
ĕ
e̘
e̘ː
e̙
e̝
e̞
e̞͡i
e̞͡o̞
e̞͡u
e̞ː
e̞ˤ
ẽ̞
ẽ̞͡ĩ
ẽ̞͡ũ
ẽ̞ː
e̞̠
e̞̥
e̞̰
ẽ̞̰
e̤
e̤ː
e̯
ḛ
f
f͡ʃ
fʰ
fʲ
fʷ
fʷː
fʼ
fː
f̰
f͈ː
f͉
h
h͡v
hʲ
hʷ
hˀ
hː
h̃
i
i͡a
i͡au
i͡aː
i͡ã
i͡e
i͡eː
i͡ẽ
i͡e̞
i͡o
i͡ou
i͡oː
i͡o̞
i͡u
iæ
i͡ɔ
i͡ə
i͡ɛ
i͡ɛː
i͡ɨ
