*R
*Rʲ
*R̥
*R̪
*R̪̥
*R̪̰
*R̰
a
ae
ae̞
ae̞ˤ
ai
ai̯
aj
ao
ao̞
ao̞ˤ
au
au̯
aw
ay
aɔ
aɛ
aɨ
aɪ
aɯ
aʊ
aˀ
aː
aː̃
a˞
aˤ
aˤː
ã
ãẽ̞ˤ
ãi
ãĩ
ãõ̞ˤ
ãː
ãˤ
ãˤː
ã̆
ă
å
a̙
a̙ː
a̙ˠ
a̟
a̟i
a̟ː
ã̟
ã̟ĩ
ã̟ː
a̟̙ː
a̠
a̠ː
a̤
a̤i̤
a̤ṳ
a̤ɯ̤
a̤ː
ḁ
a̰
a̰ḭ
a̰ṵ
ã̰
b
bv
bz
bɦ
bʰ
bʲ
bʷ
bʷː
bʷˠ
bʼ
bˀ
bː
bˤ
bˤː
b̃
b̃ʷ
b̤
b̤ʲ
b̤ː
b̤̥
b̩
b̪
b̰
b̻
b͈
b͈ː
bⁿ
c
cç
cçʰ
cçː
cɕ
cɕʰ
cɕʼ
cɲ
cʰ
cʲ
cʷ
cʷʰ
cʼ
c̟
c̠
ç
çʲ
çʷ
çː
ç̟
c̰
d
dl
dr
dz
dzʰ
dzʲ
dzʷ
dzʼ
dzː
dzˠ
dz̃
dz̤
dz̪
dɮ
dʑ
dʑᶣ
dʰ
dʲ
dʲʷ
dʷ
dʼ
dˀ
dː
dˠ
dˤ
dˤː
d̃
d̠
d̠ʒ
d̠ʒʰ
d̠ʒʲ
d̠ʒʷ
d̠ʒʼ
d̠ʒː
d̠ʒˠ
d̠ʒ̤
d̠ʒ̤ː
d̠̰
d̠͈ʒ
d̠ⁿ
d̤
d̤̥
d̩
d̪
d̪l̪
d̪z̪
d̪z̪ʲ
d̪z̪̤
d̪ð
d̪ɦ
d̪ɮ̪
d̪ʰ
d̪ʲ
d̪ʷ
d̪ː
d̪ˤ
d̪̤
d̪̤ː
d̪̤̥
d̪̰
d̪ⁿ
d̰
d̻
d̻z̻
d̻ʲ
d̻ː
d͈
d͈ː
dⁿ
e
ea
ei
eĩ
ei̙
ei̯
ej
eo
eu
eu̯
eɔ
eɪ
eʊ
eˀ
eː
eˠ
ẽ
ẽĩ
ẽː
ĕ
e̘
e̘ː
e̙
e̝
e̞
e̞i
e̞o̞
e̞u
e̞ː
e̞ˤ
ẽ̞
ẽ̞ĩ
ẽ̞ũ
ẽ̞ː
e̞̠
e̞̥
e̞̰
ẽ̞̰
e̤
e̤ː
e̯
ḛ
f
fʃ
fʰ
fʲ
fʷ
fʷː
fʼ
fː
f̰
f͈ː
f͉
h
hv
hʲ
hʷ
hˀ
hː
h̃
i
ia
iau
iaː
iã
ie
ieː
iẽ
ie̞
io
iou
ioː
io̞
iu
iæ
iɔ
iə
iɛ
iɛː
iɨ
iʊ
iˀ
iː
iˠ
iˤ
iˤː
ĩ
ĩə
ĩː
ĭ
i̘
i̙
i̙ː
i̞
i̞ː
i̤
i̤a̤
i̤ṳ
i̤ə̤
i̤ɛ̤
i̤ː
i̥
ḭ
ḭ̃
i͓
j
ja
jai̯
jau̯
je
jeu̯
jo
ju
jɛ
jʰ
jʷ
jˀ
jː
jˤ
j̃
j̥
j̰
k
kf
kp
kpm
kpʰ
kpʲ
kpʷ
kpː
kpˤ
kx
kxʰ
kxʷ
kxʼː
kxː
kŋ
