IPA Segment,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,tense,long
ˀt͡ɕ,-,-,+,-,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,0,-
ˀt͡ɬ,-,-,+,-,+,+,-,-,-,-,+,+,+,-,-,0,0,0,-,0,-
ˀx,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,+,-,+,-,0,-
ˀç,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,+,-,-,-,0,-
ˀħ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,-,+,+,-,0,-
ˀɣ,-,-,+,+,-,-,-,0,+,-,+,-,-,0,-,+,-,+,-,0,-
ˀʁ,-,-,+,+,-,-,-,0,+,-,+,-,-,0,-,-,-,+,-,0,-
ˀʂ,-,-,+,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,0,-
ˀʃ,-,-,+,+,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,0,-
ˀʐ,-,-,+,+,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,0,-
ˀʒ,-,-,+,+,-,-,-,+,+,-,+,-,+,+,-,-,-,-,-,0,-
ˀʕ,-,-,+,+,-,-,-,0,+,-,+,-,-,0,-,-,+,+,-,0,-
ˀʝ,-,-,+,+,-,-,-,0,+,-,+,-,-,0,-,+,-,-,-,0,-
ˀχ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,-,-,+,-,0,-
ˀf,-,-,+,+,-,-,-,0,-,-,+,+,-,0,+,-,-,-,-,0,-
ˀs,-,-,+,+,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-
ˀs̪,-,-,+,+,-,-,-,+,-,-,+,+,+,+,-,-,-,-,-,0,-
ˀv,-,-,+,+,-,-,-,0,+,-,+,+,-,0,+,-,-,-,-,0,-
ˀz,-,-,+,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,0,-
ˀz̪,-,-,+,+,-,-,-,+,+,-,+,+,+,+,-,-,-,-,-,0,-
ˀð,-,-,+,+,-,-,-,-,+,-,+,+,+,+,-,-,-,-,-,0,-
ˀɸ,-,-,+,+,-,-,-,0,-,-,+,+,-,0,+,-,-,-,-,0,-
ˀβ,-,-,+,+,-,-,-,0,+,-,+,+,-,0,+,-,-,-,-,0,-
ˀθ,-,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0,-
ˀɧ,-,-,+,+,+,-,-,0,-,-,+,-,+,+,-,+,-,0,-,0,-
ˀɕ,-,-,+,+,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,0,-
ˀɬ,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,0,0,0,-,0,-
ˀɬ̪,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,0,0,0,-,0,-
ˀɮ,-,-,+,+,+,+,-,-,+,-,+,+,+,-,-,0,0,0,-,0,-
ˀʑ,-,-,+,+,+,-,-,+,+,-,+,+,+,+,-,+,-,-,-,0,-
ˀɱ,-,+,+,-,0,-,+,0,+,-,+,+,-,0,+,0,0,0,-,0,-
ˀʔ,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,-,-,-,-,0,-
ˀŋ,-,+,+,-,-,-,+,0,+,-,+,-,-,0,-,+,-,+,-,0,-
ˀɳ,-,+,+,-,-,-,+,-,+,-,+,-,+,0,-,-,-,-,-,0,-
ˀɴ,-,+,+,-,-,-,+,0,+,-,+,-,-,0,-,-,-,+,-,0,-
ˀm,-,+,+,-,-,-,+,0,+,-,+,+,-,0,+,-,-,-,-,0,-
ˀn,-,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,-,0,-
ˀn̪,-,+,+,-,-,-,+,-,+,-,+,+,+,+,-,-,-,-,-,0,-
ˀɲ,-,+,+,-,-,-,+,-,+,-,+,+,-,0,-,+,-,-,-,0,-
ˀɥ,-,+,-,+,0,-,-,0,+,-,+,0,-,0,+,+,-,-,+,+,-
ˀɰ,-,+,-,+,0,-,-,0,+,-,+,0,-,0,-,+,-,0,-,+,-
ˀʋ,-,+,-,+,0,-,-,0,+,-,+,+,-,0,+,0,0,0,-,0,-
ˀʀ,-,+,+,+,0,-,-,0,+,-,+,0,-,0,-,-,-,+,-,0,-
ˀʙ,-,+,+,+,0,-,-,0,+,-,+,+,-,0,+,0,0,0,-,0,-
ˀʟ,-,+,+,+,0,+,-,0,+,-,+,0,-,0,-,+,-,0,-,0,-
ˀɭ,-,+,+,+,0,+,-,-,+,-,+,-,+,-,-,0,0,0,-,0,-
ˀɽ,-,+,+,+,0,-,-,-,+,-,+,-,+,-,-,0,0,0,-,0,-
ˀʎ,-,+,+,+,0,+,-,0,+,-,+,-,+,+,-,+,-,-,-,0,-
ˀr,-,+,+,+,0,-,-,-,+,-,+,+,+,-,-,0,0,0,-,0,-
ˀr̪,-,+,+,+,0,-,-,-,+,-,+,+,+,+,-,0,0,0,-,0,-
ˀɫ,-,+,+,+,0,+,-,-,+,-,+,+,+,-,-,-,-,+,-,0,-
ˀɺ,-,+,+,+,0,+,-,-,+,-,+,+,+,-,-,0,0,0,-,0,-
ˀɾ,-,+,+,+,0,-,-,-,+,-,+,+,+,-,-,0,0,0,-,0,-
ˀʍ,-,+,-,+,-,-,-,0,-,-,+,-,-,0,+,+,-,+,+,0,-
ˀh,-,+,+,+,-,-,-,-,-,-,+,-,-,0,-,-,-,-,-,0,-
ˀj,-,+,-,+,-,-,-,0,+,-,+,-,-,0,-,+,-,-,-,0,-
ˀw,-,+,-,+,-,-,-,0,+,-,+,-,-,0,+,+,-,+,+,0,-
ˀɹ,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,+,-,+,+,0,-
ˀɻ,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,0,-
ˀl,-,+,+,+,-,+,-,-,+,-,+,+,+,-,-,-,-,-,-,0,-
ˀl̪,-,+,+,+,-,+,-,-,+,-,+,+,+,+,-,-,-,-,-,0,-
ˀɦ,-,+,+,+,-,-,+,0,-,-,+,-,-,0,-,-,-,-,-,0,-
ˀɑ,+,+,-,+,0,-,-,0,+,-,+,-,-,-,-,-,+,+,-,+,-
ˀɘ,+,+,-,+,0,-,-,0,+,-,+,-,-,-,-,-,-,-,-,+,-
ˀɞ,+,+,-,+,0,-,-,0,+,-,+,-,-,-,+,-,-,-,+,-,-
ˀɤ,+,+,-,+,0,-,-,0,+,-,+,-,-,-,-,-,-,+,-,+,-
ˀɵ,+,+,-,+,0,-,-,0,+,-,+,-,-,-,+,-,-,-,+,+,-
ˀʉ,+,+,-,+,0,-,-,0,+,-,+,-,-,-,+,+,-,-,+,+,-
ˀa,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,+,+,-,+,-
ˀe,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,-,-,+,-
ˀi,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,+,-,-,-,+,-
ˀo,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,+,+,+,-
ˀu,+,+,-,+,-,-,-,0,+,-,+,-,-,-,+,+,-,+,+,+,-
ˀy,+,+,-,+,-,-,-,0,+,-,+,-,-,-,+,+,-,-,+,+,-
ˀæ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,+,-,-,+,-
ˀø,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,-,+,+,-
ˀœ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,-,+,-,-
ˀɒ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,+,+,+,+,-
ˀɔ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,+,+,-,-
ˀə,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,+,-,-,-
ˀɘ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,+,-,-,-
ˀɵ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,+,+,-,-
ˀɞ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,+,+,+,-
ˀɜ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,+,-,+,-
ˀɛ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,-,-,-,-
ˀɨ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,+,-,+,-,+,-
ˀɪ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,+,-,-,-,-,-
ˀɯ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,+,-,+,-,-,-
ˀɶ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,+,-,+,+,-
ˀʊ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,+,-,+,+,-,-
ˀɐ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,+,-,+,-
ˀʌ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,-,-,+,-,+,-
ˀʏ,+,+,-,+,-,-,-,0,+,-,+,-,-,-,-,+,-,-,+,-,-
b̼͡d̼,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,-,-,-,-,0,-
d̼,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,0,-
d̪̼,-,-,+,-,-,-,-,-,+,-,-,+,+,+,+,-,-,-,-,0,-
p̼͡t̼,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,-,-,-,-,0,-
t̼,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,0,-
t̪̼,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,0,-
ɗ̼,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,0,-
ð̼,-,-,+,+,-,-,-,-,+,-,-,+,+,+,+,-,-,-,-,0,-
θ̼,-,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,0,-
n̼,-,+,+,-,-,-,+,-,+,-,-,+,+,-,+,-,-,-,-,0,-
n̪̼,-,+,+,-,-,-,+,-,+,-,-,+,+,+,+,-,-,-,-,0,-
k͡pʷ,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,+,+,0,-
ɡ͡bʷ,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,-,+,+,0,-
cʷ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,+,0,-
ɡʷ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,-
kʷ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,+,0,-
qʷ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,+,0,-
ɖʷ,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,+,-,+,+,0,-
ɟʷ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,-
ɠʷ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,+,0,-
ɢʷ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,-
ʄʷ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,+,0,-
ʈʷ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,0,-
ʛʷ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,+,0,-
bʷ,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,+,-,+,+,0,-
b͡dʷ,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,+,-,+,+,0,-
dʷ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,+,0,-
d̪ʷ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,+,0,-
pʷ,-,-,+,-,-,-,-,0,-,-,-,+,-,0,+,+,-,+,+,0,-
p͡tʷ,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,+,-,+,+,0,-
tʷ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,0,-
t̪ʷ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,+,0,-
ɓʷ,-,-,+,-,-,-,-,0,+,-,+,+,-,0,+,+,-,+,+,0,-
ɗʷ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,+,+,0,-
b͡βʷ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,+,+,0,+,+,0,-
k͡xʷ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,+,+,0,-
p͡ɸʷ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,+,+,0,+,+,0,-
q͡χʷ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,+,+,0,-
ɡ͡ɣʷ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,+,+,0,-
ɢ͡ʁʷ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,+,+,0,-
c͡çʷ,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,+,+,0,-
d͡ʒʷ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,+,-,+,+,0,-
t͡ʃʷ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,+,-,+,+,0,-
ɖ͡ʐʷ,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,+,0,+,+,0,-
ɟ͡ʝʷ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,+,+,0,-
ʈ͡ʂʷ,-,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,0,+,+,0,-
b͡vʷ,-,-,+,-,+,-,-,0,+,-,-,+,-,0,+,+,-,+,+,0,-
d̪͡z̪ʷ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,0,+,+,0,-
d̪͡ðʷ,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,+,0,+,+,0,-
d̪͡ɮ̪ʷ,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,+,0,+,+,0,-
d͡zʷ,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,+,-,+,+,0,-
d͡ɮʷ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,0,+,+,0,-
d͡ʑʷ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,-,+,+,0,-
p͡fʷ,-,-,+,-,+,-,-,0,-,-,-,+,-,0,+,+,-,+,+,0,-
t̪͡s̪ʷ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,0,+,+,0,-
t̪͡ɬ̪ʷ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,0,+,+,0,-
t̪͡θʷ,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,+,0,+,+,0,-
t͡sʷ,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,+,-,+,+,0,-
t͡ɕʷ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,-,+,+,0,-
t͡ɬʷ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,0,+,+,0,-
xʷ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,+,+,0,-
çʷ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,+,+,0,-
ħʷ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,+,+,+,0,-
ɣʷ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,-
ʁʷ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,-
ʂʷ,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,+,0,-
ʃʷ,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,+,0,-
ʐʷ,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,+,-,+,+,0,-
ʒʷ,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,+,-,+,+,0,-
ʕʷ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,+,+,+,0,-
ʝʷ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,-
χʷ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,+,+,0,-
fʷ,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,+,-,+,+,0,-
sʷ,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,+,-,+,+,0,-
s̪ʷ,-,-,+,+,-,-,-,+,-,-,-,+,+,+,-,+,-,+,+,0,-
vʷ,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,+,-,+,+,0,-
zʷ,-,-,+,+,-,-,-,+,+,-,-,+,+,-,-,+,-,+,+,0,-
z̪ʷ,-,-,+,+,-,-,-,+,+,-,-,+,+,+,-,+,-,+,+,0,-
ðʷ,-,-,+,+,-,-,-,-,+,-,-,+,+,+,-,+,-,+,+,0,-
ɸʷ,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,+,-,+,+,0,-
βʷ,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,+,-,+,+,0,-
θʷ,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,+,0,-
ɧʷ,-,-,+,+,+,-,-,0,-,-,-,-,+,+,-,+,-,+,+,0,-
ɕʷ,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-,+,-,+,+,0,-
ɬʷ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,0,+,+,0,-
ɬ̪ʷ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,0,+,+,0,-
ɮʷ,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,+,0,+,+,0,-
ʑʷ,-,-,+,+,+,-,-,+,+,-,-,+,+,+,-,+,-,+,+,0,-
ɱʷ,-,+,+,-,0,-,+,0,+,-,-,+,-,0,+,+,0,+,+,0,-
ʔʷ,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,+,-,+,+,0,-
ŋʷ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,+,+,0,-
ɳʷ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,+,-,+,+,0,-
ɴʷ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,+,+,0,-
mʷ,-,+,+,-,-,-,+,0,+,-,-,+,-,0,+,+,-,+,+,0,-
nʷ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,+,+,0,-
n̪ʷ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,+,+,0,-
ɲʷ,-,+,+,-,-,-,+,-,+,-,-,+,-,0,-,+,-,+,+,0,-
ɥʷ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,+,+,-,+,+,+,-
ɰʷ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,-,+,-,+,+,+,-
ʋʷ,-,+,-,+,0,-,-,0,+,-,-,+,-,0,+,+,0,+,+,0,-
ʀʷ,-,+,+,+,0,-,-,0,+,-,-,0,-,0,-,+,-,+,+,0,-
ʙʷ,-,+,+,+,0,-,-,0,+,-,-,+,-,0,+,+,0,+,+,0,-
ʟʷ,-,+,+,+,0,+,-,0,+,-,-,0,-,0,-,+,-,+,+,0,-
ɭʷ,-,+,+,+,0,+,-,-,+,-,-,-,+,-,-,+,0,+,+,0,-
ɽʷ,-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,0,+,+,0,-
ʎʷ,-,+,+,+,0,+,-,0,+,-,-,-,+,+,-,+,-,+,+,0,-
rʷ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,+,+,0,-
r̪ʷ,-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,0,+,+,0,-
ɫʷ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,-,+,+,0,-
ɺʷ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,0,+,+,0,-
ɾʷ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,+,+,0,-
ʍʷ,-,+,-,+,-,-,-,0,-,-,-,-,-,0,+,+,-,+,+,0,-
hʷ,-,+,+,+,-,-,-,-,-,-,-,-,-,0,-,+,-,+,+,0,-
jʷ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,-
wʷ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,+,+,-,+,+,0,-
ɹʷ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,0,-
ɻʷ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,0,-
lʷ,-,+,+,+,-,+,-,-,+,-,-,+,+,-,-,+,-,+,+,0,-
l̪ʷ,-,+,+,+,-,+,-,-,+,-,-,+,+,+,-,+,-,+,+,0,-
ɦʷ,-,+,+,+,-,-,+,0,-,-,-,-,-,0,-,+,-,+,+,0,-
k͡pʲ,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,-,-,0,-
ɡ͡bʲ,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,-,-,-,0,-
cʲ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
ɡʲ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
kʲ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
qʲ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
ɖʲ,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,+,-,-,-,0,-
ɟʲ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
ɠʲ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,-,-,0,-
ɢʲ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
ʄʲ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,-,-,0,-
ʈʲ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,0,-
ʛʲ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,-,-,0,-
bʲ,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,+,-,-,-,0,-
b͡dʲ,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,+,-,-,-,0,-
dʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,0,-
d̪ʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,-,-,0,-
pʲ,-,-,+,-,-,-,-,0,-,-,-,+,-,0,+,+,-,-,-,0,-
p͡tʲ,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,+,-,-,-,0,-
tʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,0,-
t̪ʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,0,-
ɓʲ,-,-,+,-,-,-,-,0,+,-,+,+,-,0,+,+,-,-,-,0,-
ɗʲ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,-,-,0,-
b͡βʲ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,+,+,0,-,-,0,-
k͡xʲ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,-,-,0,-
p͡ɸʲ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,+,+,0,-,-,0,-
q͡χʲ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,-,-,0,-
ɡ͡ɣʲ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,-,-,0,-
ɢ͡ʁʲ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,-,-,0,-
c͡çʲ,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,0,-
d͡ʒʲ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,+,-,-,-,0,-
t͡ʃʲ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,0,-
ɖ͡ʐʲ,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,+,0,-,-,0,-
ɟ͡ʝʲ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,-,-,0,-
ʈ͡ʂʲ,-,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,0,-,-,0,-
b͡vʲ,-,-,+,-,+,-,-,0,+,-,-,+,-,0,+,+,-,-,-,0,-
d̪͡z̪ʲ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,0,-,-,0,-
d̪͡ðʲ,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,+,0,-,-,0,-
d̪͡ɮ̪ʲ,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,+,0,-,-,0,-
d͡zʲ,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,+,-,-,-,0,-
d͡ɮʲ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,0,-,-,0,-
d͡ʑʲ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,0,-
p͡fʲ,-,-,+,-,+,-,-,0,-,-,-,+,-,0,+,+,-,-,-,0,-
t̪͡s̪ʲ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,0,-,-,0,-
t̪͡ɬ̪ʲ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,0,-,-,0,-
t̪͡θʲ,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,+,0,-,-,0,-
t͡sʲ,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,+,-,-,-,0,-
t͡ɕʲ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,-,-,-,0,-
t͡ɬʲ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,0,-,-,0,-
xʲ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
çʲ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
ħʲ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,+,-,-,0,-
ɣʲ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
ʁʲ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
ʂʲ,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,0,-
ʃʲ,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,0,-
ʐʲ,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,0,-
ʒʲ,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,+,-,-,-,0,-
ʕʲ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,+,-,-,0,-
ʝʲ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
χʲ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
fʲ,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,+,-,-,-,0,-
sʲ,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,+,-,-,-,0,-
s̪ʲ,-,-,+,+,-,-,-,+,-,-,-,+,+,+,-,+,-,-,-,0,-
vʲ,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,+,-,-,-,0,-
zʲ,-,-,+,+,-,-,-,+,+,-,-,+,+,-,-,+,-,-,-,0,-
z̪ʲ,-,-,+,+,-,-,-,+,+,-,-,+,+,+,-,+,-,-,-,0,-
ðʲ,-,-,+,+,-,-,-,-,+,-,-,+,+,+,-,+,-,-,-,0,-
ɸʲ,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,+,-,-,-,0,-
