IPA Segment,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,tense,long
z,-,-,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,0,-
z̪,-,-,+,+,-,-,-,+,+,-,-,+,+,+,-,-,-,-,-,0,-
ð,-,-,+,+,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,0,-
ɸ,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
β,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
θ,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,0,-
ɧ,-,-,+,+,+,-,-,0,-,-,-,-,+,+,-,+,-,0,-,0,-
ɕ,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-,+,-,-,-,0,-
ɬ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,-
ɬ̪,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
ɮ,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
ʑ,-,-,+,+,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,0,-
ɱ,-,+,+,-,0,-,+,0,+,-,-,+,-,0,+,0,0,0,-,0,-
ʔ,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,-,-,-,-,0,-
ŋ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,+,-,0,-
ɳ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,0,-
ɴ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,-,-,+,-,0,-
m,-,+,+,-,-,-,+,0,+,-,-,+,-,0,+,-,-,-,-,0,-
n,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,0,-
n̪,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,0,-
ɲ,-,+,+,-,-,-,+,-,+,-,-,+,-,0,-,+,-,-,-,0,-
ɥ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,+,+,-,-,+,+,-
ɰ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,-,+,-,0,-,+,-
ʋ,-,+,-,+,0,-,-,0,+,-,-,+,-,0,+,0,0,0,-,0,-
ʀ,-,+,+,+,0,-,-,0,+,-,-,0,-,0,-,-,-,+,-,0,-
ʙ,-,+,+,+,0,-,-,0,+,-,-,+,-,0,+,0,0,0,-,0,-
ʟ,-,+,+,+,0,+,-,0,+,-,-,0,-,0,-,+,-,0,-,0,-
ɭ,-,+,+,+,0,+,-,-,+,-,-,-,+,-,-,0,0,0,-,0,-
ɽ,-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,0,0,0,-,0,-
ʎ,-,+,+,+,0,+,-,0,+,-,-,-,+,+,-,+,-,-,-,0,-
r,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
r̪,-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,0,0,0,-,0,-
ɫ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,-,-,+,-,0,-
ɺ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
ɾ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
ʍ,-,+,-,+,-,-,-,0,-,-,-,-,-,0,+,+,-,+,+,0,-
h,-,+,+,+,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-
j,-,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
w,-,+,-,+,-,-,-,0,+,-,-,-,-,0,+,+,-,+,+,0,-
ɹ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,0,-
ɻ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,0,-
l,-,+,+,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,0,-
l̪,-,+,+,+,-,+,-,-,+,-,-,+,+,+,-,-,-,-,-,0,-
ɦ,-,+,+,+,-,-,+,0,-,-,-,-,-,0,-,-,-,-,-,0,-
ɑ,+,+,-,+,0,-,-,0,+,-,-,-,-,-,-,-,+,+,-,+,-
ɘ,+,+,-,+,0,-,-,0,+,-,-,-,-,-,-,-,-,-,-,+,-
ɞ,+,+,-,+,0,-,-,0,+,-,-,-,-,-,+,-,-,-,+,-,-
